epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.11355,2.1037,3.87388,1.97699,0.00341,1,0.09905,0.03367,2.1214,3.26243,1.96732,3.334e-05,3.334e-05,3.334e-05
2,2.63575,2.04551,3.94001,1.97568,0.00337,1,0.20918,0.0882,2.16468,3.19176,1.96958,8.16997e-05,8.16997e-05,8.16997e-05
3,3.15656,1.93728,3.68268,1.8699,0.00334,1,0.4412,0.1814,1.75084,3.17298,1.68582,0.000128079,0.000128079,0.000128079
4,3.66501,1.66973,3.12905,1.62504,0.00333,1,0.65846,0.35592,1.34522,2.92441,1.39355,0.000172478,0.000172478,0.000172478
5,4.20321,1.51535,2.58696,1.45311,0.00333,1,0.67336,0.39847,1.32463,2.80272,1.35797,0.000214896,0.000214896,0.000214896
6,4.70704,1.38585,2.44133,1.50156,0.00333,1,0.75067,0.46103,1.20123,2.71858,1.3646,0.000255334,0.000255334,0.000255334
7,5.2114,1.32717,2.15,1.37546,0.00333,1,0.73908,0.45464,1.25078,2.62754,1.28279,0.000293792,0.000293792,0.000293792
8,5.74719,1.24523,1.8372,1.33181,0.00333,1,0.69489,0.45374,1.27094,2.58503,1.28141,0.000330269,0.000330269,0.000330269
9,6.24812,1.30733,1.82618,1.37075,0.00333,1,0.74333,0.43699,1.41059,2.58218,1.34385,0.000364766,0.000364766,0.000364766
10,6.7435,1.31573,1.91359,1.3923,0.00333,1,0.7253,0.41913,1.49511,2.59368,1.42419,0.000397283,0.000397283,0.000397283
11,7.23368,1.29769,1.50432,1.28712,0.00334,1,0.75409,0.41336,1.60129,2.57518,1.52615,0.000427819,0.000427819,0.000427819
12,7.71311,1.30266,1.76028,1.33988,0.00334,1,0.76911,0.40523,1.59825,2.53019,1.46178,0.000456375,0.000456375,0.000456375
13,8.20421,1.32746,1.70762,1.31179,0.00365,1,0.78637,0.40312,1.5182,2.38435,1.41197,0.00048295,0.00048295,0.00048295
14,8.69676,1.13525,1.53643,1.21188,0.8229,0.41667,0.78293,0.44163,1.33041,2.29309,1.32114,0.000507545,0.000507545,0.000507545
15,9.18823,1.24618,1.58473,1.42959,0.83363,0.33333,0.78067,0.47084,1.39918,2.25489,1.34599,0.000530159,0.000530159,0.000530159
16,9.68073,1.22261,1.61597,1.31549,0.90282,0.34742,0.78091,0.45221,1.37674,2.26556,1.35835,0.000550793,0.000550793,0.000550793
17,10.1669,1.20648,1.55148,1.30347,0.96301,0.59353,0.83552,0.50185,1.55448,1.98301,1.49417,0.000569447,0.000569447,0.000569447
18,10.656,1.32773,1.59742,1.35184,0.81234,0.64901,0.81545,0.38347,1.69647,2.01476,1.53911,0.000586121,0.000586121,0.000586121
19,11.144,1.29633,1.6865,1.31287,0.70707,0.61667,0.81829,0.40646,1.60254,2.05314,1.4551,0.000600813,0.000600813,0.000600813
20,11.6418,1.26237,1.5215,1.23876,0.7197,0.7,0.86452,0.49058,1.51697,1.98833,1.41786,0.000613526,0.000613526,0.000613526
21,12.1239,1.13273,1.48674,1.23066,0.82361,0.74024,0.94643,0.50677,1.76642,1.93778,1.65507,0.000624258,0.000624258,0.000624258
22,12.6304,1.19319,1.50984,1.23861,0.8759,0.79221,0.97833,0.49441,1.8488,1.75181,1.77652,0.00063301,0.00063301,0.00063301
23,13.1212,1.16682,1.32516,1.22345,0.87821,1,0.98357,0.50898,1.80344,1.57158,1.66967,0.000639781,0.000639781,0.000639781
24,13.6323,1.11317,1.37446,1.21035,0.80285,1,0.97143,0.52176,1.73965,1.49235,1.73468,0.000644572,0.000644572,0.000644572
25,14.1618,1.18752,1.5998,1.37488,0.85234,0.89995,0.97143,0.52412,1.74628,1.47116,1.80737,0.000647383,0.000647383,0.000647383
26,14.6886,0.99196,1.26708,1.20357,0.87704,0.9189,0.995,0.58471,1.69453,1.37733,1.68716,0.000648213,0.000648213,0.000648213
27,15.1858,1.14578,1.40405,1.25834,0.91079,0.98733,0.995,0.62236,1.55612,1.24754,1.56797,0.000647063,0.000647063,0.000647063
28,15.6927,1.05062,1.34839,1.24129,0.93601,0.95638,0.995,0.62991,1.43988,1.17178,1.45474,0.000643932,0.000643932,0.000643932
29,16.1786,1.21661,1.33049,1.26929,0.93601,0.95638,0.995,0.62991,1.43988,1.17178,1.45474,0.000638821,0.000638821,0.000638821
30,16.6774,1.20064,1.20024,1.1858,0.95746,0.98253,0.995,0.60066,1.44014,1.09085,1.48576,0.00063173,0.00063173,0.00063173
31,17.1717,1.09719,1.33068,1.1607,0.98887,1,0.995,0.59442,1.45873,1.02191,1.433,0.000622658,0.000622658,0.000622658
