epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,17.6616,0.99717,1.15371,1.1688,0.95235,0.98584,0.995,0.58154,1.5078,1.08872,1.39308,0.000611606,0.000611606,0.000611606
33,18.1665,0.94847,1.22033,1.09872,0.95235,0.98584,0.995,0.58154,1.5078,1.08872,1.39308,0.000598573,0.000598573,0.000598573
34,18.6779,1.00314,1.22031,1.15072,0.99402,0.92497,0.995,0.58509,1.52786,1.15776,1.41051,0.000577782,0.000577782,0.000577782
35,19.1782,1.00194,1.18149,1.12499,0.86582,0.88469,0.963,0.57106,1.53361,1.20976,1.41726,0.000544776,0.000544776,0.000544776
36,19.6763,1.07817,1.23112,1.17023,0.89021,0.91667,0.963,0.53356,1.61804,1.18637,1.46384,0.000511769,0.000511769,0.000511769
37,20.1597,0.96022,1.15666,1.15115,0.89021,0.91667,0.963,0.53356,1.61804,1.18637,1.46384,0.000478762,0.000478762,0.000478762
38,20.6503,1.0138,1.16751,1.10383,0.95069,0.91667,0.98357,0.55831,1.70261,1.14179,1.55292,0.000445756,0.000445756,0.000445756
39,21.1421,0.98938,1.08863,1.11996,0.96725,0.93252,0.995,0.5414,1.7309,1.07496,1.63356,0.000412749,0.000412749,0.000412749
40,21.6427,0.94347,1.07196,1.1057,0.95102,0.99118,0.995,0.5422,1.71042,1.01309,1.61602,0.000379743,0.000379743,0.000379743
41,22.5429,0.99878,1.64844,1.17787,0.95102,0.99118,0.995,0.5422,1.71042,1.01309,1.61602,0.000346736,0.000346736,0.000346736
42,23.0443,0.79735,1.49789,1.02662,0.93122,0.98973,0.995,0.52686,1.65832,1.03611,1.54517,0.000313729,0.000313729,0.000313729
43,23.5382,0.79306,1.4115,1.09118,0.93478,0.99061,0.995,0.53026,1.66017,1.02248,1.5528,0.000280723,0.000280723,0.000280723
44,24.0325,0.80906,1.49035,1.03777,0.8951,0.98428,0.995,0.52577,1.64149,1.08227,1.53235,0.000247716,0.000247716,0.000247716
45,24.5446,0.94513,1.45275,1.17927,0.8951,0.98428,0.995,0.52577,1.64149,1.08227,1.53235,0.00021471,0.00021471,0.00021471
46,25.0535,0.84256,1.46463,1.03635,0.88239,0.99309,0.995,0.51832,1.63417,1.11311,1.53588,0.000181703,0.000181703,0.000181703
47,25.562,1.07416,1.51177,1.17814,0.88622,0.99887,0.995,0.5343,1.61924,1.12457,1.52031,0.000148696,0.000148696,0.000148696
48,26.0928,0.97309,1.50485,1.06712,0.88555,1,0.995,0.50843,1.62065,1.10767,1.52436,0.00011569,0.00011569,0.00011569
49,26.5943,0.82195,1.45028,1.12149,0.88555,1,0.995,0.50843,1.62065,1.10767,1.52436,8.26832e-05,8.26832e-05,8.26832e-05
50,27.1224,0.83919,1.47724,1.04841,0.88671,1,0.995,0.52464,1.60525,1.09729,1.50549,4.96766e-05,4.96766e-05,4.96766e-05
